+----------+---------------------+----------------+-------------+----------+-----------------+
| id       | emission            | cnpj           | terminal_id | valor    | movementtype_id |
+----------+---------------------+----------------+-------------+----------+-----------------+
| 45393714 | 2024-07-01 08:20:00 | 06626253000151 |        1660 | 700      |               1 |
| 45393721 | 2024-07-01 08:27:08 | 06626253000151 |        1708 | 100      |               1 |
| 45393868 | 2024-07-01 08:33:34 | 06626253000151 |        1659 | 800      |               1 |
| 45394413 | 2024-07-01 08:48:21 | 06626253000151 |        1627 | 100      |               1 |
| 45394609 | 2024-07-01 08:55:46 | 06626253000151 |        1695 | 1950     |               1 |
| 45394618 | 2024-07-01 08:23:51 | 06626253000151 |        1641 | 0        |               1 |
| 45395016 | 2024-07-01 09:16:41 | 06626253000151 |        1695 | 300      |               1 |
| 45395128 | 2024-07-01 09:30:16 | 06626253000151 |        1662 | 150      |               1 |
| 45395130 | 2024-07-01 09:24:25 | 06626253000151 |        1662 | 20920.00 |               2 |
| 45395236 | 2024-07-01 09:31:58 | 06626253000151 |        1648 | 200      |               1 |
| 45395352 | 2024-07-01 09:31:31 | 06626253000151 |        1627 | 300      |               1 |
| 45395379 | 2024-07-01 09:30:20 | 06626253000151 |        1635 | 400      |               1 |
| 45395667 | 2024-07-01 09:47:11 | 06626253000151 |        1642 | 800      |               1 |
| 45395670 | 2024-07-01 09:48:25 | 06626253000151 |        1642 | 1050     |               1 |
| 45395782 | 2024-07-01 09:47:16 | 06626253000151 |        1635 | 100      |               1 |
| 45395809 | 2024-07-01 09:53:36 | 06626253000151 |        1691 | 1150     |               1 |
| 45395965 | 2024-07-01 09:59:45 | 06626253000151 |        1691 | 1600     |               1 |
| 45396007 | 2024-07-01 10:02:51 | 06626253000151 |        1708 | 500      |               1 |
| 45396015 | 2024-07-01 09:59:16 | 06626253000151 |        1645 | 100      |               1 |
| 45396053 | 2024-07-01 10:00:53 | 06626253000151 |        1645 | 900      |               1 |
| 45396055 | 2024-07-01 10:01:58 | 06626253000151 |        1645 | 500      |               1 |
| 45396068 | 2024-07-01 10:00:08 | 06626253000151 |        1646 | 500      |               1 |
| 45396264 | 2024-07-01 10:09:13 | 06626253000151 |        1663 | 0        |               1 |
| 45396266 | 2024-07-01 09:57:21 | 06626253000151 |        1663 | 11550.00 |               2 |
| 45396399 | 2024-07-01 10:14:46 | 06626253000151 |        1633 | 300      |               1 |
| 45396549 | 2024-07-01 10:26:30 | 06626253000151 |        1697 | 200      |               1 |
| 45396580 | 2024-07-01 10:23:28 | 06626253000151 |        1642 | 500      |               1 |
| 45396670 | 2024-07-01 10:28:32 | 06626253000151 |        1648 | 1500     |               1 |
| 45396866 | 2024-07-01 10:35:07 | 06626253000151 |        1702 | 300      |               1 |
| 45396874 | 2024-07-01 10:37:00 | 06626253000151 |        1699 | 550      |               1 |
| 45396876 | 2024-07-01 10:36:09 | 06626253000151 |        1702 | 27130.00 |               2 |
| 45396958 | 2024-07-01 10:32:43 | 06626253000151 |        1712 | 1500     |               1 |
| 45396970 | 2024-07-01 10:36:22 | 06626253000151 |        1642 | 400      |               1 |
| 45397102 | 2024-07-01 10:38:38 | 06626253000151 |        1646 | 600      |               1 |
| 45397169 | 2024-07-01 10:42:12 | 06626253000151 |        1646 | 300      |               1 |
| 45397171 | 2024-07-01 10:42:36 | 06626253000151 |        1646 | 300      |               1 |
| 45397703 | 2024-07-01 11:00:17 | 06626253000151 |        1635 | 200      |               1 |
| 45397762 | 2024-07-01 11:06:58 | 06626253000151 |        1642 | 200      |               1 |
| 45397796 | 2024-07-01 11:03:24 | 06626253000151 |        1634 | 700      |               1 |
| 45397995 | 2024-07-01 11:17:13 | 06626253000151 |        1691 | 1100     |               1 |
| 45398005 | 2024-07-01 11:22:07 | 06626253000151 |        1638 | 400      |               1 |
| 45398008 | 2024-07-01 11:12:11 | 06626253000151 |        1638 | 25000.00 |               2 |
